query_mass,compound_id,formula,compound_mass,adduct,adduct_type,adduct_mass,delta
115.0934,HMDB00323,C5H10N2O,114.079312952,M+H,+,115.086589,0.006811
115.0934,HMDB61162,C5H10N2O,114.079312952,M+H,+,115.086589,0.006811
140.0768,HMDB12234,C6H9N3O,139.074561925,M+H,+,140.081838,0.005038
140.0768,HMDB33388,C7H9NO2,139.063328537,M+H,+,140.070605,0.006195
140.0768,HMDB38174,C7H9NO2,139.063328537,M+H,+,140.070605,0.006195
140.0768,HMDB59856,C7H9NO2,139.063328537,M+H,+,140.070605,0.006195
140.0768,HMDB12153,C7H9NO2,139.063328537,M+H,+,140.070605,0.006195
140.0768,HMDB32539,C6H15N,101.120449485,M+K,+,140.083607,0.006807
140.0768,HMDB32323,C6H15N,101.120449485,M+K,+,140.083607,0.006807
140.0768,HMDB29558,C5H14ClNO,139.076391782,M+H,+,140.083668,0.006868
140.0768,HMDB00883,C5H11NO2,117.078978601,M+Na,+,140.068197,0.008603
140.0768,HMDB03355,C5H11NO2,117.078978601,M+Na,+,140.068197,0.008603
140.0768,HMDB02141,C5H11NO2,117.078978601,M+Na,+,140.068197,0.008603
140.0768,HMDB01382,C5H11NO2,117.078978601,M+Na,+,140.068197,0.008603
140.0768,HMDB13716,C5H11NO2,117.078978601,M+Na,+,140.068197,0.008603
140.0768,HMDB61966,C5H11NO2,117.078978598,M+Na,+,140.068197,0.008603
140.0768,HMDB62141,C5H11NO2,117.078978601,M+Na,+,140.068197,0.008603
140.0768,HMDB00043,C5H11NO2,117.078978601,M+Na,+,140.068197,0.008603
140.0768,HMDB15550,C5H11NO2,117.078978601,M+Na,+,140.068197,0.008603
203.0642,HMDB29436,C7H10N2O5,202.05897144,M+H,+,203.066247,0.002047
203.0642,HMDB37733,C10H12O3,180.07864425,M+Na,+,203.067862,0.003662
203.0642,HMDB32128,C10H12O3,180.07864425,M+Na,+,203.067862,0.003662
203.0642,HMDB37602,C10H12O3,180.07864425,M+Na,+,203.067862,0.003662
203.0642,HMDB32574,C10H12O3,180.07864425,M+Na,+,203.067862,0.003662
203.0642,HMDB32640,C10H12O3,180.07864425,M+Na,+,203.067862,0.003662
203.0642,HMDB32174,C10H12O3,180.07864425,M+Na,+,203.067862,0.003662
203.0642,HMDB31240,C10H12O3,180.07864425,M+Na,+,203.067862,0.003662
203.0642,HMDB29685,C10H12O3,180.07864425,M+Na,+,203.067862,0.003662
203.0642,HMDB12915,C10H12O3,180.07864425,M+Na,+,203.067862,0.003662
203.0642,HMDB33761,C10H12O3,180.07864425,M+Na,+,203.067862,0.003662
203.0642,HMDB11751,C10H12O3,180.07864425,M+Na,+,203.067862,0.003662
203.0642,HMDB60734,C10H12O3,180.07864425,M+Na,+,203.067862,0.003662
203.0642,HMDB61017,C8H12N4,164.106196404,M+K,+,203.069354,0.005154
203.0642,HMDB32706,C12H10O3,202.062994186,M+H,+,203.07027,0.00607
203.0642,HMDB38115,C12H10O3,202.062994186,M+H,+,203.07027,0.00607
203.0642,HMDB34663,C12H10O3,202.062994186,M+H,+,203.07027,0.00607
203.0642,HMDB32713,C12H10O3,202.062994186,M+H,+,203.07027,0.00607
203.0642,HMDB34900,C9H12N2O,164.094963016,M+K,+,203.058121,0.006079
203.0642,HMDB12246,C9H12N2O,164.094963016,M+K,+,203.058121,0.006079
203.0642,HMDB12883,C9H10NO3,180.066068191,M+Na,+,203.055286,0.008914
203.0642,HMDB40275,C8H10O6,202.047738052,M+H,+,203.055014,0.009186
203.0642,HMDB01889,C7H8N4O2,180.06472552,M+Na,+,203.053944,0.010256
203.0642,HMDB02825,C7H8N4O2,180.06472552,M+Na,+,203.053944,0.010256
203.0642,HMDB01860,C7H8N4O2,180.06472552,M+Na,+,203.053944,0.010256
203.0642,HMDB32222,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB03418,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB34220,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB33704,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB62170,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB62086,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB12326,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB06088,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB00122,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB00143,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB00169,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB03449,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB03345,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB01266,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB01151,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB00660,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB00516,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB00346,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB00211,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB61922,C6H12O6,180.063388116,M+Na,+,203.052606,0.011594
203.0642,HMDB62100,C6H12O6,180.063388106,M+Na,+,203.052606,0.011594
203.0642,HMDB62138,C6H12O6,180.063388106,M+Na,+,203.052606,0.011594
203.0642,HMDB04076,C9H12N2O2,180.089877638,M+Na,+,203.079096,0.014896
203.0642,HMDB13319,C9H12N2O2,180.089877638,M+Na,+,203.079096,0.014896
203.0642,HMDB32565,C9H12N2O2,180.089877638,M+Na,+,203.079096,0.014896
203.0642,HMDB30397,C9H12N2O2,180.089877638,M+Na,+,203.079096,0.014896
203.0642,HMDB60281,C9H12N2O2,180.089877638,M+Na,+,203.079096,0.014896
203.0642,HMDB41109,C9H12N2O2,180.089877638,M+Na,+,203.079096,0.014896
203.0642,HMDB40933,C9H11ClO3,202.039671925,M+H,+,203.046948,0.017252
203.0642,HMDB14994,C9H11ClO3,202.039671925,M+H,+,203.046948,0.017252
203.0642,HMDB05802,C10H12O2,164.083729628,M+K,+,203.046888,0.017312
203.0642,HMDB32038,C10H12O2,164.083729628,M+K,+,203.046888,0.017312
203.0642,HMDB30063,C10H12O2,164.083729628,M+K,+,203.046888,0.017312
203.0642,HMDB37174,C10H12O2,164.083729628,M+K,+,203.046888,0.017312
