query_mass,compound_id,formula,compound_mass,adduct,adduct_type,adduct_mass,delta
122.0436,HMDB40173,C5H9N,83.073499293,M+K,+,122.036657,0.006943
122.0436,HMDB33529,C5H9N,83.073499293,M+K,+,122.036657,0.006943
167.1801,HMDB32537,C12H22,166.172150704,M+H,+,167.179427,0.000673
167.1801,HMDB61818,C12H22,166.172150704,M+H,+,167.179427,0.000673
167.1801,HMDB61817,C12H22,166.172150704,M+H,+,167.179427,0.000673
215.1378,HMDB29030,C10H18N2O3,214.131742452,M+H,+,215.139018,0.001218
215.1378,HMDB29135,C10H18N2O3,214.131742452,M+H,+,215.139018,0.001218
215.1378,HMDB03581,C10H18N2O3,214.131742452,M+H,+,215.139018,0.001218
215.1378,HMDB59883,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB32498,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB37139,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB36022,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB31733,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB29823,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB29820,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB29825,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB29822,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB32541,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB36027,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB29824,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB34979,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB29821,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB36144,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB36818,C13H20O,192.151415264,M+Na,+,215.140633,0.002833
215.1378,HMDB34671,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB34959,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB35753,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB35682,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB33545,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB36565,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB36684,C13H20O,192.151415262,M+Na,+,215.140633,0.002833
215.1378,HMDB30984,C11H18O4,214.120509064,M+H,+,215.127785,0.010015
215.1378,HMDB30986,C11H18O4,214.120509064,M+H,+,215.127785,0.010015
215.1378,HMDB30985,C11H18O4,214.120509064,M+H,+,215.127785,0.010015
215.1378,HMDB35180,C13H20,176.15650064,M+K,+,215.119659,0.018141
215.1378,HMDB61825,C13H20,176.15650064,M+K,+,215.119659,0.018141
215.1378,HMDB61826,C13H20,176.15650064,M+K,+,215.119659,0.018141
215.1378,HMDB30310,C13H14N2O,214.11061308,M+H,+,215.117889,0.019911
215.1378,HMDB42058,C13H14N2O,214.11061308,M+H,+,215.117889,0.019911
215.1378,HMDB60963,C13H14N2O,214.11061308,M+H,+,215.117889,0.019911
425.2507,HMDB05022,C23H36O7,424.246103506,M+H,+,425.25338,0.00268
425.2507,HMDB15631,C25H32N2O4,424.236207522,M+H,+,425.243484,0.007216
425.2507,HMDB30407,C18H34N4O6,402.24783484,M+Na,+,425.237053,0.013647
425.2507,HMDB11587,C25H38O4,402.277009704,M+Na,+,425.266228,0.015528
425.2507,HMDB11557,C25H38O4,402.277009704,M+Na,+,425.266228,0.015528
425.2507,HMDB00541,C25H38O4,402.277009704,M+Na,+,425.266228,0.015528
425.2507,HMDB40747,C26H32O5,424.224974134,M+H,+,425.23225,0.01845
425.2507,HMDB34183,C26H32O5,424.224974134,M+H,+,425.23225,0.01845
425.2507,HMDB40607,C26H32O5,424.224974134,M+H,+,425.23225,0.01845
425.2507,HMDB38018,C21H38O6,386.266838948,M+K,+,425.229997,0.020703
425.2507,HMDB31125,C21H38O6,386.266838948,M+K,+,425.229997,0.020703
425.2507,HMDB36015,C21H38O6,386.266838948,M+K,+,425.229997,0.020703
425.2507,HMDB35844,C24H34O5,402.240624198,M+Na,+,425.229842,0.020858
425.2507,HMDB32925,C26H42O2,386.318480588,M+K,+,425.281639,0.030939
425.2507,HMDB34492,C22H32O8,424.209718,M+H,+,425.216994,0.033706
425.2507,HMDB39013,C22H32O8,424.209718,M+H,+,425.216994,0.033706
425.2507,HMDB15698,C21H30N4O4,402.226705468,M+Na,+,425.215923,0.034777
425.2507,HMDB34159,C20H34O8,402.225368064,M+Na,+,425.214586,0.036114
425.2507,HMDB29887,C22H42O6,402.298139076,M+Na,+,425.287357,0.036657
425.2507,HMDB00311,C24H40O6,424.282489012,M+H,+,425.289765,0.039065
425.2507,HMDB00437,C24H40O6,424.282489012,M+H,+,425.289765,0.039065
425.2507,HMDB00433,C24H40O6,424.282489012,M+H,+,425.289765,0.039065
425.2507,HMDB00399,C24H40O6,424.282489012,M+H,+,425.289765,0.039065
425.2507,HMDB00307,C24H40O6,424.282489012,M+H,+,425.289765,0.039065
425.2507,HMDB00367,C24H40O6,424.282489012,M+H,+,425.289765,0.039065
425.2507,HMDB00340,C24H40O6,424.282489012,M+H,+,425.289765,0.039065
425.2507,HMDB00316,C24H40O6,424.282489012,M+H,+,425.289765,0.039065
425.2507,HMDB00377,C24H40O6,424.282489012,M+H,+,425.289765,0.039065
425.2507,HMDB13158,C24H40O6,424.282489012,M+H,+,425.289765,0.039065
425.2507,HMDB13192,C24H40O6,424.282489012,M+H,+,425.289765,0.039065
425.2507,HMDB12867,C24H34O4,386.245709576,M+K,+,425.208868,0.041832
425.2507,HMDB00385,C24H34O4,386.245709576,M+K,+,425.208868,0.041832
437.2597,HMDB30041,C26H38O4,414.277009704,M+Na,+,437.266228,0.006528
437.2597,HMDB30140,C26H38O4,414.277009704,M+Na,+,437.266228,0.006528
437.2597,HMDB12516,C26H38O4,414.277009704,M+Na,+,437.266228,0.006528
437.2597,HMDB07855,C21H41O7P,436.258990178,M+H,+,437.266266,0.006566
437.2597,HMDB07851,C21H41O7P,436.258990178,M+H,+,437.266266,0.006566
437.2597,HMDB11133,C21H41O7P,436.258990178,M+H,+,437.266266,0.006566
437.2597,HMDB39883,C22H38O7,414.26175357,M+Na,+,437.250972,0.008728
437.2597,HMDB32798,C21H40O9,436.267232878,M+H,+,437.274509,0.014809
437.2597,HMDB29949,C20H40N2O8,436.278466266,M+H,+,437.285742,0.026042
437.2597,HMDB14984,C24H33FO6,436.226116993,M+H,+,437.233393,0.026307
437.2597,HMDB40606,C27H32O5,436.224974134,M+H,+,437.23225,0.02745
437.2597,HMDB61047,C25H40O6,436.282489012,M+H,+,437.289765,0.030065
437.2597,HMDB40815,C26H42N2O,398.329713976,M+K,+,437.292872,0.033172
437.2597,HMDB36941,C27H42O3,414.31339521,M+Na,+,437.302613,0.042913
437.2597,HMDB41583,C27H42O3,414.31339521,M+Na,+,437.302613,0.042913
416.2741,HMDB15041,C25H37NO4,415.272258677,M+H,+,416.279535,0.005435
416.2741,HMDB15073,C25H37NO4,415.272258677,M+H,+,416.279535,0.005435
416.2741,HMDB13650,C23H39NO3,377.292994119,M+K,+,416.256152,0.017948
494.2963,HMDB35367,C30H39NO5,493.282823363,M+H,+,494.290099,0.006201
494.2963,HMDB14486,C32H41NO2,471.313729561,M+Na,+,494.302948,0.006648
494.2963,HMDB61201,C25H34F3N5O2,493.266459972,M+H,+,494.273736,0.022564
494.2963,HMDB06510,C29H45NO4,471.334858933,M+Na,+,494.324077,0.027777
494.2963,HMDB10383,C24H48NO7P,493.316839407,M+H,+,494.324115,0.027815
494.2963,ECMDB23415,C24H48NO7P,493.316839407,M+H,+,494.324115,0.027815
494.2963,ECMDB23406,C24H48NO7P,493.316839407,M+H,+,494.324115,0.027815
494.2963,HMDB14757,C29H31N7O,493.259008649,M+H,+,494.266285,0.030015
438.2204,HMDB30229,C26H31NO5,437.220223107,M+H,+,438.227499,0.007099
438.2204,HMDB33469,C25H31N3O4,437.231456495,M+H,+,438.238732,0.018332
438.2204,HMDB14761,C22H26F3N3OS,437.174867774,M+H,+,438.182144,0.038256
438.2204,HMDB15041,C25H37NO4,415.272258677,M+Na,+,438.261477,0.041077
438.2204,HMDB15073,C25H37NO4,415.272258677,M+Na,+,438.261477,0.041077
538.3248,HMDB60547,C30H45NO5,499.329773555,M+K,+,538.292932,0.031868
538.3248,HMDB10389,C26H46NO7P,515.301189343,M+Na,+,538.290407,0.034393
538.3248,HMDB33781,C26H44NNaO7S,537.273618132,M+H,+,538.280894,0.043906
538.3248,HMDB00036,C26H45NO7S,515.291673489,M+Na,+,538.280891,0.043909
538.3248,HMDB00889,C26H45NO7S,515.291673489,M+Na,+,538.280891,0.043909
538.3248,HMDB00922,C26H45NO7S,515.291673489,M+Na,+,538.280891,0.043909
538.3248,HMDB00932,C26H45NO7S,515.291673489,M+Na,+,538.280891,0.043909
538.3248,HMDB11637,C26H45NO7S,515.291673489,M+Na,+,538.280891,0.043909
538.3248,HMDB14754,C29H41NO7,515.288302671,M+Na,+,538.277521,0.047279
582.3531,HMDB33678,C33H53NO6,559.387288433,M+Na,+,582.376506,0.023406
582.3531,HMDB37102,C37H53NO3,559.402544567,M+Na,+,582.391763,0.038663
582.3531,ECMDB23549,C26H48NO11P,581.296497895,M+H,+,582.303774,0.049326
582.3531,ECMDB23535,C26H48NO11P,581.296497895,M+H,+,582.303774,0.049326
582.3531,HMDB10396,C28H50NO7P,543.332489471,M+K,+,582.295647,0.057453
582.3531,HMDB10395,C28H50NO7P,543.332489471,M+K,+,582.295647,0.057453
609.3797,HMDB29779,C37H52O7,608.371304018,M+H,+,609.37858,0.00112
609.3797,HMDB35262,C37H52O7,608.371304018,M+H,+,609.37858,0.00112
609.3797,HMDB35331,C35H54O7,586.386954082,M+Na,+,609.376172,0.003528
