query_mass,compound_id,formula,compound_mass,adduct,adduct_type,adduct_mass,delta
104.0553,HMDB31682,C4H9NS,103.045569983,M+H,+,104.052846,0.002454
104.0553,HMDB62085,C7H5N,103.042199165,M+H,+,104.049475,0.005825
104.0553,HMDB62038,C5H7N,81.057849229,M+Na,+,104.047067,0.008233
104.0553,HMDB33113,C5H7N,81.057849229,M+Na,+,104.047067,0.008233
104.0553,HMDB33114,C5H7N,81.057849229,M+Na,+,104.047067,0.008233
104.0553,HMDB15507,C4H7O3,103.03951909,M+H,+,104.046795,0.008505
122.0673,HMDB04461,C7H7NO,121.052763851,M+H,+,122.06004,0.00726
122.0673,HMDB33131,C7H7NO,121.052763851,M+H,+,122.06004,0.00726
122.0673,HMDB35281,C7H7NO,121.052763851,M+H,+,122.06004,0.00726
122.0673,HMDB40518,C5H9NO,99.068413915,M+Na,+,122.057632,0.009668
122.0673,HMDB34587,C5H9NO,99.068413915,M+Na,+,122.057632,0.009668
122.0673,HMDB60309,C5H9NO,99.068413915,M+Na,+,122.057632,0.009668
122.0673,HMDB11749,C5H9NO,99.068413915,M+Na,+,122.057632,0.009668
130.1129,HMDB01921,C4H11N5,129.101445377,M+H,+,130.108721,0.004179
137.0913,HMDB31429,C7H14O,114.10446507,M+Na,+,137.093683,0.002383
137.0913,HMDB38052,C7H14O,114.10446507,M+Na,+,137.093683,0.002383
137.0913,HMDB31482,C7H14O,114.10446507,M+Na,+,137.093683,0.002383
137.0913,HMDB31538,C7H14O,114.10446507,M+Na,+,137.093683,0.002383
137.0913,HMDB31405,C7H14O,114.10446507,M+Na,+,137.093683,0.002383
137.0913,HMDB31549,C7H14O,114.10446507,M+Na,+,137.093683,0.002383
137.0913,HMDB32405,C7H14O,114.10446507,M+Na,+,137.093683,0.002383
137.0913,HMDB31475,C7H14O,114.10446507,M+Na,+,137.093683,0.002383
137.0913,HMDB03671,C7H14O,114.10446507,M+Na,+,137.093683,0.002383
137.0913,HMDB04814,C7H14O,114.10446507,M+Na,+,137.093683,0.002383
137.0913,HMDB05841,C7H14O,114.10446507,M+Na,+,137.093683,0.002383
137.0913,HMDB62059,C7H14O,114.104465071,M+Na,+,137.093683,0.002383
137.0913,HMDB41320,C7H14O,114.10446507,M+Na,+,137.093683,0.002383
137.0913,HMDB40191,C7H14O,114.10446507,M+Na,+,137.093683,0.002383
137.0913,HMDB59693,C7H14O,114.10446507,M+Na,+,137.093683,0.002383
137.0913,HMDB61896,C7H14O,114.10446507,M+Na,+,137.093683,0.002383
137.0913,HMDB29667,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB32149,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB32625,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB31627,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB39782,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB38986,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB32624,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB38988,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB32621,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB38985,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB31312,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB32029,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB38987,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB38984,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB59896,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB31628,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB34378,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB32441,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB31446,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB32544,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB33962,C9H12O,136.088815006,M+H,+,137.096091,0.004791
137.0913,HMDB01216,C6H8N4,136.074896276,M+H,+,137.082172,0.009128
137.0913,HMDB31201,C5H12O4,136.073558872,M+H,+,137.080835,0.010465
137.0913,HMDB33919,C5H12O4,136.073558872,M+H,+,137.080835,0.010465
137.0913,HMDB11659,C5H12O4,136.073558872,M+H,+,137.080835,0.010465
153.0875,HMDB38227,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB30028,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB35238,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB36237,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB30052,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB34239,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB34166,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB32204,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB32874,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB40297,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB39619,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB36209,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB39095,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB31595,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB31600,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB36238,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB39618,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB33745,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB31528,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB31594,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB00666,C7H14O2,130.099379692,M+Na,+,153.088598,0.001098
153.0875,HMDB59853,C9H12O2,152.083729628,M+H,+,153.091006,0.003506
153.0875,HMDB40175,C9H12O2,152.083729628,M+H,+,153.091006,0.003506
153.0875,HMDB32132,C9H12O2,152.083729628,M+H,+,153.091006,0.003506
153.0875,HMDB32599,C9H12O2,152.083729628,M+H,+,153.091006,0.003506
153.0875,HMDB40216,C9H12O2,152.083729628,M+H,+,153.091006,0.003506
153.0875,HMDB41804,C9H12O2,152.083729628,M+H,+,153.091006,0.003506
153.0875,HMDB39801,C9H12O2,152.083729628,M+H,+,153.091006,0.003506
153.0875,HMDB36227,C9H12O2,152.083729628,M+H,+,153.091006,0.003506
153.0875,HMDB36169,C9H12O2,152.083729628,M+H,+,153.091006,0.003506
153.0875,HMDB39956,C9H12O2,152.083729628,M+H,+,153.091006,0.003506
153.0875,HMDB41326,C9H12O2,152.083729628,M+H,+,153.091006,0.003506
153.0875,HMDB40449,C9H12O2,152.083729628,M+H,+,153.091006,0.003506
153.0875,HMDB00568,C5H12O5,152.068473494,M+H,+,153.075749,0.011751
153.0875,HMDB01851,C5H12O5,152.068473494,M+H,+,153.075749,0.011751
153.0875,HMDB02917,C5H12O5,152.068473494,M+H,+,153.075749,0.011751
153.0875,HMDB33730,C5H12O5,152.068473494,M+H,+,153.075749,0.011751
153.0875,HMDB00508,C5H12O5,152.068473494,M+H,+,153.075749,0.011751
153.0875,HMDB02064,C6H14N2O,130.11061308,M+Na,+,153.099831,0.012331
153.0875,HMDB60268,C6H14N2O,130.11061308,M+Na,+,153.099831,0.012331
153.0875,HMDB40053,C8H12N2O,152.094963016,M+H,+,153.102239,0.014739
153.0875,HMDB40052,C8H12N2O,152.094963016,M+H,+,153.102239,0.014739
153.0875,HMDB40340,C8H12N2O,152.094963016,M+H,+,153.102239,0.014739
153.0875,HMDB32381,C8H12N2O,152.094963016,M+H,+,153.102239,0.014739
168.1062,HMDB02182,C9H13NO2,167.094628665,M+H,+,168.101905,0.004295
168.1062,HMDB60807,C9H13NO2,167.094628665,M+H,+,168.101905,0.004295
168.1062,HMDB32020,C9H13NO2,167.094628665,M+H,+,168.101905,0.004295
168.1062,HMDB41888,C9H13NO2,167.094628665,M+H,+,168.101905,0.004295
168.1062,HMDB39837,C9H13NO2,167.094628665,M+H,+,168.101905,0.004295
168.1062,HMDB14748,C9H13NO2,167.094628665,M+H,+,168.101905,0.004295
168.1062,HMDB15165,C9H13NO2,167.094628665,M+H,+,168.101905,0.004295
168.1062,HMDB00022,C9H13NO2,167.094628665,M+H,+,168.101905,0.004295
168.1062,HMDB04826,C9H13NO2,167.094628665,M+H,+,168.101905,0.004295
168.1062,HMDB38869,C9H13NO2,167.094628665,M+H,+,168.101905,0.004295
168.1062,HMDB60592,C9H13NO2,167.094628665,M+H,+,168.101905,0.004295
168.1062,HMDB12162,C9H13NO2,167.094628665,M+H,+,168.101905,0.004295
168.1062,HMDB06831,C7H15NO2,145.110278729,M+Na,+,168.099497,0.006703
181.139,HMDB31450,C10H22,142.172150704,M+K,+,181.135309,0.003691
181.139,HMDB62001,C10H22,142.172150708,M+K,+,181.135309,0.003691
181.139,HMDB61806,C10H22,142.172150704,M+K,+,181.135309,0.003691
181.139,HMDB62049,C10H22,142.172150708,M+K,+,181.135309,0.003691
181.139,HMDB32468,C11H16O2,180.115029756,M+H,+,181.122306,0.016694
181.139,HMDB59926,C11H16O2,180.115029756,M+H,+,181.122306,0.016694
181.139,HMDB30007,C11H16O2,180.115029756,M+H,+,181.122306,0.016694
181.139,HMDB35240,C11H16O2,180.115029756,M+H,+,181.122306,0.016694
181.139,HMDB39957,C11H16O2,180.115029756,M+H,+,181.122306,0.016694
181.139,HMDB39159,C11H16O2,180.115029756,M+H,+,181.122306,0.016694
181.139,HMDB30039,C11H16O2,180.115029756,M+H,+,181.122306,0.016694
181.139,HMDB59925,C11H16O2,180.115029756,M+H,+,181.122306,0.016694
181.139,HMDB36817,C11H16O2,180.115029756,M+H,+,181.122306,0.016694
181.139,HMDB36669,C11H16O2,180.115029756,M+H,+,181.122306,0.016694
181.139,HMDB11624,C10H22O,158.167065326,M+Na,+,181.156283,0.017283
181.139,HMDB31408,C10H22O,158.167065326,M+Na,+,181.156283,0.017283
181.139,HMDB35411,C10H22O,158.167065326,M+Na,+,181.156283,0.017283
181.139,HMDB35246,C10H22O,158.167065326,M+Na,+,181.156283,0.017283
203.1486,HMDB01539,C8H18N4O2,202.14297584,M+H,+,203.150252,0.001652
203.1486,HMDB03334,C8H18N4O2,202.14297584,M+H,+,203.150252,0.001652
203.1486,HMDB61830,C14H18O,202.135765198,M+H,+,203.143041,0.005559
203.1486,HMDB39274,C14H18O,202.135765198,M+H,+,203.143041,0.005559
203.1486,HMDB30838,C14H18O,202.135765198,M+H,+,203.143041,0.005559
203.1486,HMDB30572,C14H18O,202.135765198,M+H,+,203.143041,0.005559
203.1486,HMDB31313,C14H18O,202.135765198,M+H,+,203.143041,0.005559
203.1486,HMDB39356,C14H18O,202.135765198,M+H,+,203.143041,0.005559
203.1486,HMDB39590,C12H20O,180.151415262,M+Na,+,203.140633,0.007967
203.1486,HMDB39339,C12H20O,180.151415262,M+Na,+,203.140633,0.007967
203.1486,HMDB31181,C12H20O,180.151415262,M+Na,+,203.140633,0.007967
