query_mass,compound_id,formula,compound_mass,adduct,adduct_type,adduct_mass,delta
217.1171,HMDB29027,C9H16N2O4,216.11100701,M+H,+,217.118283,0.001183
217.1171,HMDB29069,C9H16N2O4,216.11100701,M+H,+,217.118283,0.001183
217.1171,HMDB38239,C9H16N2O4,216.11100701,M+H,+,217.118283,0.001183
217.1171,HMDB32567,C12H18O2,194.13067982,M+Na,+,217.119898,0.002798
217.1171,HMDB35376,C12H18O2,194.13067982,M+Na,+,217.119898,0.002798
217.1171,HMDB14018,C12H18O2,194.13067982,M+Na,+,217.119898,0.002798
217.1171,HMDB40439,C12H18O2,194.13067982,M+Na,+,217.119898,0.002798
217.1171,HMDB38292,C12H18O2,194.13067982,M+Na,+,217.119898,0.002798
217.1171,HMDB37389,C12H18O2,194.13067982,M+Na,+,217.119898,0.002798
217.1171,HMDB35801,C12H18O2,194.13067982,M+Na,+,217.119898,0.002798
217.1171,HMDB39685,C12H18O2,194.13067982,M+Na,+,217.119898,0.002798
217.1171,HMDB41497,C12H18O2,194.13067982,M+Na,+,217.119898,0.002798
217.1171,HMDB31840,C12H18O2,194.13067982,M+Na,+,217.119898,0.002798
217.1171,HMDB37018,C12H18O2,194.13067982,M+Na,+,217.119898,0.002798
217.1171,HMDB34450,C12H18O2,194.13067982,M+Na,+,217.119898,0.002798
217.1171,HMDB35126,C12H18O2,194.13067982,M+Na,+,217.119898,0.002798
217.1171,HMDB37231,C12H18O2,194.13067982,M+Na,+,217.119898,0.002798
217.1171,HMDB38046,C12H18O2,194.13067982,M+Na,+,217.119898,0.002798
217.1171,HMDB35375,C12H18O2,194.13067982,M+Na,+,217.119898,0.002798
217.1171,HMDB40833,C14H16O2,216.115029756,M+H,+,217.122306,0.005206
217.1171,HMDB04620,C8H16N4O3,216.122240398,M+H,+,217.129516,0.012416
217.1171,HMDB29837,C13H16N2O,216.126263144,M+H,+,217.133539,0.016439
217.1171,HMDB34292,C13H16N2O,216.126263144,M+H,+,217.133539,0.016439
217.1171,HMDB32579,C12H18O,178.135765198,M+K,+,217.098923,0.018177
217.1171,HMDB38194,C12H18O,178.135765198,M+K,+,217.098923,0.018177
