query_mass,compound_id,formula,compound_mass,adduct,adduct_type,adduct_mass,delta
129.2428,HMDB34285,C23H48O,340.370516158,M+H+2Na,+,129.223029,0.019771
129.2428,HMDB35651,C22H44O2,340.334130652,M+H+2Na,+,129.210901,0.031899
129.2428,HMDB40290,C22H44O2,340.334130652,M+H+2Na,+,129.210901,0.031899
129.2428,HMDB35660,C22H44O2,340.334130652,M+H+2Na,+,129.210901,0.031899
129.2428,HMDB00944,C22H44O2,340.334130652,M+H+2Na,+,129.210901,0.031899
129.2428,HMDB35667,C22H44O2,340.334130652,M+H+2Na,+,129.210901,0.031899
129.2428,HMDB35655,C22H44O2,340.334130652,M+H+2Na,+,129.210901,0.031899
129.2428,HMDB13208,C21H42NO2,340.321554593,M+H+2Na,+,129.206709,0.036091
129.2428,HMDB32476,C21H40O3,340.297745146,M+H+2Na,+,129.198772,0.044028
90.9527,HMDB30879,C2H6SSe,141.93554271,M+H+K,+,90.952988,0.000288
90.9527,HMDB12190,AsH3O4,141.924730001,M+H+K,+,90.947582,0.005118
90.9527,HMDB41899,Gd,157.924100533,M+H+Na,+,90.960297,0.007597
90.9527,HMDB40187,C3H3Br2ClO,247.823917719,M+2H+Na,+,90.942563,0.010137
90.9527,HMDB02786,NO2,45.992903249,M+2Na-H,+,90.964063,0.011363
90.9527,HMDB03276,H2S,33.987720754,2M+Na,+,90.96466,0.01196
90.9527,HMDB41065,C2H6S4,157.935232952,M+H+Na,+,90.965863,0.013163
90.9527,HMDB13715,Nd,141.907718643,M+H+K,+,90.939076,0.013624
90.9527,HMDB02457,Ni,57.935347922,M+CH3OH+H,+,90.968837,0.016137
90.9527,HMDB14657,Al2H2O6Si,179.925141211,M+2H,+,90.969847,0.017147
90.9527,HMDB59650,ClHO,51.971592361,M+K,+,90.93475,0.01795
90.9527,HMDB32554,C4H5Cl3,157.945683281,M+H+Na,+,90.971089,0.018389
90.9527,HMDB03745,C2H6O3S2,141.975835438,M+H+K,+,90.973135,0.020435
90.9527,HMDB40362,C3H7K2O6P,247.92543819,M+2H+Na,+,90.976403,0.023703
90.9527,HMDB00142,CH2O2,46.005479308,M+2Na-H,+,90.976639,0.023939
