query_mass,compound_id,formula,compound_mass,adduct,adduct_type,adduct_mass,delta
100.0814,HMDB12176,C5H12N2O,116.094963016,M+2ACN+2H,+,100.081305,0.000095
100.0814,HMDB00925,C3H9NO,75.068413915,M+3ACN+2H,+,100.081304,0.000096
100.0814,HMDB12136,C3H9NO,75.068413915,M+3ACN+2H,+,100.081304,0.000096
100.0814,HMDB29737,C9H7NO,145.052763851,M+2Na+H,+,100.081604,0.000204
100.0814,HMDB41827,H4N,18.034374133,2M+ACN+Na,+,100.084513,0.003113
100.0814,HMDB36648,C15H18,198.140850576,M+2H,+,100.077701,0.003699
100.0814,HMDB59698,C15H18,198.140850576,M+2H,+,100.077701,0.003699
100.0814,HMDB35180,C13H20,176.15650064,M+H+Na,+,100.076497,0.004903
100.0814,HMDB61826,C13H20,176.15650064,M+H+Na,+,100.076497,0.004903
100.0814,HMDB61825,C13H20,176.15650064,M+H+Na,+,100.076497,0.004903
100.0814,HMDB02714,CH4,16.031300128,M+IsoProp+Na+H,+,100.08641,0.00501
100.0814,HMDB00051,H3N,17.026549101,M+2ACN+H,+,100.086919,0.005519
100.0814,HMDB15344,C4H6N2,82.053098202,M+NH4,+,100.086921,0.005521
100.0814,HMDB62125,C2H3N,41.026549101,2M+NH4,+,100.086921,0.005521
100.0814,HMDB61869,C2H3N,41.026549101,2M+NH4,+,100.086921,0.005521
100.0814,HMDB62037,C4H6N2,82.053098201,M+NH4,+,100.086921,0.005521
100.0814,HMDB11749,C5H9NO,99.068413915,M+H,+,100.07569,0.00571
100.0814,HMDB40518,C5H9NO,99.068413915,M+H,+,100.07569,0.00571
100.0814,HMDB34587,C5H9NO,99.068413915,M+H,+,100.07569,0.00571
100.0814,HMDB60309,C5H9NO,99.068413915,M+H,+,100.07569,0.00571
100.0814,HMDB14447,C8H15NO2,157.110278729,M+ACN+2H,+,100.075689,0.005711
100.0814,HMDB36090,C10H15NO2,181.110278729,M+H+NH4,+,100.075689,0.005711
100.0814,HMDB33868,C10H15NO2,181.110278729,M+H+NH4,+,100.075689,0.005711
100.0814,HMDB39838,C10H15NO2,181.110278729,M+H+NH4,+,100.075689,0.005711
100.0814,HMDB33433,C8H15NO2,157.110278729,M+ACN+2H,+,100.075689,0.005711
100.0814,HMDB35195,C10H15NO2,181.110278729,M+H+NH4,+,100.075689,0.005711
100.0814,HMDB39784,C10H15NO2,181.110278729,M+H+NH4,+,100.075689,0.005711
100.0814,HMDB40038,C10H15NO2,181.110278729,M+H+NH4,+,100.075689,0.005711
100.0814,HMDB41806,C10H15NO2,181.110278729,M+H+NH4,+,100.075689,0.005711
100.0814,HMDB60748,C10H15NO2,181.110278729,M+H+NH4,+,100.075689,0.005711
100.0814,HMDB00689,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB00535,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB01659,C3H6O,58.041864814,M+ACN+H,+,100.075688,0.005712
100.0814,HMDB03366,C3H6O,58.041864814,M+ACN+H,+,100.075688,0.005712
100.0814,HMDB29762,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB62131,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB37266,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB30027,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB31580,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB31597,C5H6O,82.041864814,M+NH4,+,100.075688,0.005712
100.0814,HMDB31558,C3H6O,58.041864814,M+ACN+H,+,100.075688,0.005712
100.0814,HMDB31511,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB34163,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB33774,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB40279,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB31323,C4H5N,67.042199165,M+CH3OH+H,+,100.075688,0.005712
100.0814,HMDB30059,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB31207,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB13749,C5H6O,82.041864814,M+NH4,+,100.075688,0.005712
100.0814,HMDB33889,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB31248,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB31325,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB31246,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB30056,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB31221,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB35924,C4H5N,67.042199165,M+CH3OH+H,+,100.075688,0.005712
100.0814,HMDB40327,C6H12O2,116.083729628,M+2ACN+2H,+,100.075688,0.005712
100.0814,HMDB31652,C3H6O,58.041864814,M+ACN+H,+,100.075688,0.005712
100.0814,HMDB61999,C5H6O,82.041864813,M+NH4,+,100.075688,0.005712
