query_mass,compound_id,formula,compound_mass,adduct,adduct_type,adduct_mass,delta
115.0933,HMDB35881,C13H24O3,228.172544634,M+2H,+,115.093548,0.000248
115.0933,HMDB40004,C13H24O3,228.172544634,M+2H,+,115.093548,0.000248
115.0933,HMDB37212,C13H24O3,228.172544634,M+2H,+,115.093548,0.000248
115.0933,HMDB36139,C13H24O3,228.172544634,M+2H,+,115.093548,0.000248
115.0933,HMDB00895,C7H16NO2,146.118103761,M+2ACN+2H,+,115.092875,0.000425
115.0933,HMDB01161,C7H16NO2,146.118103761,M+2ACN+2H,+,115.092875,0.000425
115.0933,HMDB13811,C7H16NO2,146.118103761,M+2ACN+2H,+,115.092875,0.000425
115.0933,HMDB02156,C21H36O2,320.271530396,M+2H+Na,+,115.091767,0.001533
115.0933,HMDB04025,C21H36O2,320.271530396,M+2H+Na,+,115.091767,0.001533
115.0933,HMDB06013,C21H36O2,320.271530396,M+2H+Na,+,115.091767,0.001533
115.0933,HMDB36741,C21H36O2,320.271530396,M+2H+Na,+,115.091767,0.001533
115.0933,HMDB31009,C21H36O2,320.271530396,M+2H+Na,+,115.091767,0.001533
115.0933,HMDB60409,C21H36O2,320.271530396,M+2H+Na,+,115.091767,0.001533
115.0933,HMDB40113,C12H21NS,211.139470367,M+H+NH4,+,115.090285,0.003015
115.0933,HMDB40092,C12H21NS,211.139470367,M+H+NH4,+,115.090285,0.003015
115.0933,HMDB41477,C8H18S,146.112921266,M+2ACN+2H,+,115.090284,0.003016
115.0933,HMDB31660,C8H18S,146.112921266,M+2ACN+2H,+,115.090284,0.003016
115.0933,HMDB00164,CH5N,31.042199165,M+IsoProp+Na+H,+,115.097309,0.004009
115.0933,HMDB60291,CH5N,31.042199165,M+IsoProp+Na+H,+,115.097309,0.004009
115.0933,HMDB12973,H4N2,32.037448138,M+2ACN+H,+,115.097818,0.004518
115.0933,HMDB01522,C2H7N3,73.063997239,M+ACN+H,+,115.09782,0.00452
115.0933,HMDB15171,C13H17N,187.136099549,M+ACN+2H,+,115.0886,0.0047
115.0933,HMDB61808,C11H14,146.109550448,M+2ACN+2H,+,115.088598,0.004702
115.0933,HMDB37828,C13H28,184.219100896,M+2Na,+,115.098768,0.005468
115.0933,HMDB30307,C13H28,184.219100896,M+2Na,+,115.098768,0.005468
115.0933,HMDB34284,C13H28,184.219100896,M+2Na,+,115.098768,0.005468
115.0933,HMDB30313,C13H28,184.219100896,M+2Na,+,115.098768,0.005468
115.0933,HMDB30314,C13H28,184.219100896,M+2Na,+,115.098768,0.005468
115.0933,HMDB30309,C13H28,184.219100896,M+2Na,+,115.098768,0.005468
115.0933,HMDB31287,C13H28,184.219100896,M+2Na,+,115.098768,0.005468
115.0933,HMDB30316,C13H28,184.219100896,M+2Na,+,115.098768,0.005468
115.0933,HMDB30306,C13H28,184.219100896,M+2Na,+,115.098768,0.005468
115.0933,HMDB30315,C13H28,184.219100896,M+2Na,+,115.098768,0.005468
115.0933,HMDB62020,C13H28,184.219100902,M+2Na,+,115.098768,0.005468
115.0933,HMDB62064,C13H28,184.219100902,M+2Na,+,115.098768,0.005468
115.0933,HMDB62065,C13H28,184.219100902,M+2Na,+,115.098768,0.005468
115.0933,HMDB40901,C19H34O5,342.240624198,M+3H,+,115.087484,0.005816
115.0933,HMDB29359,C8H18O2,146.13067982,M+2ACN+2H,+,115.099163,0.005863
115.0933,HMDB37635,C8H18O2,146.13067982,M+2ACN+2H,+,115.099163,0.005863
115.0933,HMDB38679,C8H18O2,146.13067982,M+2ACN+2H,+,115.099163,0.005863
115.0933,HMDB61780,C15H26,206.203450832,M+H+Na,+,115.099972,0.006672
115.0933,HMDB00323,C5H10N2O,114.079312952,M+H,+,115.086589,0.006711
115.0933,HMDB61162,C5H10N2O,114.079312952,M+H,+,115.086589,0.006711
115.0933,HMDB00182,C6H14N2O2,146.105527702,M+2ACN+2H,+,115.086587,0.006713
115.0933,HMDB03405,C6H14N2O2,146.105527702,M+2ACN+2H,+,115.086587,0.006713
