query_mass,compound_id,formula,compound_mass,adduct,adduct_type,adduct_mass,delta
261.1455,HMDB29569,C8H18S2,178.084991956,M+2ACN+H,+,261.145362,0.000138
261.1455,HMDB40348,C8H18S2,178.084991956,M+2ACN+H,+,261.145362,0.000138
261.1455,HMDB41940,C9H11N3O,177.090211989,M+IsoProp+Na+H,+,261.145322,0.000178
261.1455,HMDB12204,C10H13N5O,219.112010063,M+ACN+H,+,261.145833,0.000333
261.1455,HMDB38497,C28H44O6,476.31378914,M+2Na,+,261.146113,0.000613
261.1455,HMDB38496,C28H44O6,476.31378914,M+2Na,+,261.146113,0.000613
261.1455,HMDB38256,C14H22O3,238.15689457,M+Na,+,261.146113,0.000613
261.1455,HMDB11171,C11H20N2O5,260.13722176,M+H,+,261.144498,0.001002
261.1455,HMDB11170,C11H20N2O5,260.13722176,M+H,+,261.144498,0.001002
261.1455,HMDB00210,C9H17NO5,219.110672659,M+ACN+H,+,261.144496,0.001004
261.1455,HMDB06695,C10H16N2O4,228.11100701,M+CH3OH+H,+,261.144496,0.001004
261.1455,HMDB40573,C10H16N2O4,228.11100701,M+CH3OH+H,+,261.144496,0.001004
261.1455,HMDB28871,C10H16N2O4,228.11100701,M+CH3OH+H,+,261.144496,0.001004
261.1455,HMDB29018,C10H16N2O4,228.11100701,M+CH3OH+H,+,261.144496,0.001004
261.1455,HMDB33789,C7H14O5,178.084123558,M+2ACN+H,+,261.144494,0.001006
261.1455,HMDB02059,C12H24O3,216.172544634,M+2Na-H,+,261.143705,0.001795
261.1455,HMDB00387,C12H24O3,216.172544634,M+2Na-H,+,261.143705,0.001795
261.1455,HMDB10728,C12H24O3,216.172544634,M+2Na-H,+,261.143705,0.001795
261.1455,HMDB40169,C12H24O3,216.172544634,M+2Na-H,+,261.143705,0.001795
261.1455,HMDB62032,C12H24O3,216.172544633,M+2Na-H,+,261.143705,0.001795
261.1455,HMDB14604,C15H16O2,228.115029756,M+CH3OH+H,+,261.148519,0.003019
261.1455,HMDB32133,C15H16O2,228.115029756,M+CH3OH+H,+,261.148519,0.003019
261.1455,HMDB33878,C15H16O2,228.115029756,M+CH3OH+H,+,261.148519,0.003019
261.1455,HMDB61836,C15H16O2,228.115029756,M+CH3OH+H,+,261.148519,0.003019
261.1455,HMDB36456,C16H20O3,260.141244506,M+H,+,261.148521,0.003021
261.1455,HMDB13862,C28H29N7O,479.243358585,M+ACN+2H,+,261.142229,0.003271
261.1455,HMDB60621,C28H29N7O,479.243358585,M+ACN+2H,+,261.142229,0.003271
261.1455,HMDB40032,C13H17NS,219.108170239,M+ACN+H,+,261.141993,0.003507
261.1455,HMDB14738,C13H12O2,200.083729628,M+IsoProp+H,+,261.14907,0.00357
261.1455,HMDB30646,C13H12O2,200.083729628,M+IsoProp+H,+,261.14907,0.00357
261.1455,HMDB36460,C13H12O2,200.083729628,M+IsoProp+H,+,261.14907,0.00357
261.1455,HMDB30203,C27H33N3O5,479.242021181,M+ACN+2H,+,261.141561,0.003939
261.1455,HMDB15019,C25H30N2O5,438.21547208,M+2ACN+2H,+,261.141559,0.003941
261.1455,HMDB34191,C28H40O9,520.267232878,M+2H,+,261.140892,0.004608
261.1455,HMDB30116,C28H40O9,520.267232878,M+2H,+,261.140892,0.004608
261.1455,HMDB60141,C28H40O9,520.267232878,M+2H,+,261.140892,0.004608
261.1455,HMDB01917,C41H64O14,780.429606756,M+3H,+,261.150478,0.004978
261.1455,HMDB14534,C41H64O14,780.429606756,M+3H,+,261.150478,0.004978
261.1455,HMDB39561,C41H64O14,780.429606756,M+3H,+,261.150478,0.004978
261.1455,HMDB40112,C11H19NS,197.123820303,M+ACN+Na,+,261.139585,0.005915
261.1455,HMDB40090,C11H19NS,197.123820303,M+ACN+Na,+,261.139585,0.005915
261.1455,HMDB40111,C11H19NS,197.123820303,M+ACN+Na,+,261.139585,0.005915
261.1455,HMDB40091,C11H19NS,197.123820303,M+ACN+Na,+,261.139585,0.005915
261.1455,HMDB39031,C16H18O6,306.110338308,M+2Na+H,+,261.139178,0.006322
261.1455,HMDB60788,C16H18O6,306.110338308,M+2Na+H,+,261.139178,0.006322
261.1455,HMDB37386,C12H20O2S,228.118400574,M+CH3OH+H,+,261.15189,0.00639
261.1455,HMDB38005,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB35156,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB36191,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB37829,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB40595,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB34730,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB37388,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB30424,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB38079,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB36215,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB30006,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB34708,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB38068,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB38245,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB38279,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB32050,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB32463,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB59816,C11H18O2,182.13067982,M+DMSO+H,+,261.1519,0.0064
261.1455,HMDB60732,C41H56N4O11,780.394558654,M+3H,+,261.138796,0.006704
261.1455,HMDB32865,C16H13N,219.104799421,M+ACN+H,+,261.138622,0.006878
261.1455,HMDB33187,C14H10,178.07825032,M+2ACN+H,+,261.13862,0.00688
261.1455,HMDB37828,C13H28,184.219100896,M+2K+H,+,261.138141,0.007359
261.1455,HMDB30307,C13H28,184.219100896,M+2K+H,+,261.138141,0.007359
261.1455,HMDB34284,C13H28,184.219100896,M+2K+H,+,261.138141,0.007359
261.1455,HMDB30313,C13H28,184.219100896,M+2K+H,+,261.138141,0.007359
261.1455,HMDB30314,C13H28,184.219100896,M+2K+H,+,261.138141,0.007359
261.1455,HMDB30309,C13H28,184.219100896,M+2K+H,+,261.138141,0.007359
261.1455,HMDB31287,C13H28,184.219100896,M+2K+H,+,261.138141,0.007359
261.1455,HMDB30316,C13H28,184.219100896,M+2K+H,+,261.138141,0.007359
261.1455,HMDB30306,C13H28,184.219100896,M+2K+H,+,261.138141,0.007359
261.1455,HMDB30315,C13H28,184.219100896,M+2K+H,+,261.138141,0.007359
261.1455,HMDB62020,C13H28,184.219100902,M+2K+H,+,261.138141,0.007359
261.1455,HMDB62064,C13H28,184.219100902,M+2K+H,+,261.138141,0.007359
261.1455,HMDB62065,C13H28,184.219100902,M+2K+H,+,261.138141,0.007359
261.1455,HMDB01458,C10H17N3O2S,243.104147493,M+NH4,+,261.13797,0.00753
261.1455,HMDB34327,C38H62O15,758.408871314,M+2H+Na,+,261.137547,0.007953
261.1455,HMDB34184,C27H34O5,438.240624198,M+2ACN+2H,+,261.154135,0.008635
261.1455,HMDB38569,C29H37NO5,479.267173299,M+ACN+2H,+,261.154137,0.008637
261.1455,HMDB36173,C14H15N,197.120449485,M+ACN+Na,+,261.136214,0.009286
261.1455,HMDB32111,C31H46O4,482.33960996,M+H+K,+,261.155022,0.009522
261.1455,HMDB40613,C26H30O6,438.204238692,M+2ACN+2H,+,261.135942,0.009558
261.1455,HMDB36597,C26H30O6,438.204238692,M+2ACN+2H,+,261.135942,0.009558
